cluster,police_station,value,cost_hours,travel_time_hours,clearance_time_hours,violations_to_clear,center_lat,center_lon,dispatch_priority
209,Pulikeshinagar(F.Town),313.29,1.641,0.308,1.333,40,12.99547229,77.61401383,1
61,Bellandur,277.65,2.315,0.982,1.333,40,12.92900029,77.69511051,2
30,K.R. Pura,191.03,2.525,1.191,1.333,40,13.00350091,77.72306977,3
48,K.R. Pura,190.71,2.332,0.999,1.333,40,13.01038586,77.69756135,4
246,Malleshwaram,190.1,1.64,0.306,1.333,40,12.99725569,77.56842694,5
90,Kodigehalli,155.37,1.849,0.516,1.333,40,13.0270263,77.5793382,6
237,High ground,153.55,1.507,0.174,1.333,40,12.98708994,77.58025931,7
89,R.T. Nagar,143.32,1.847,0.514,1.333,40,13.02764126,77.58601072,8
13,Electronic City,131.01,2.922,1.589,1.333,40,12.81933245,77.68845843,9
31,Whitefield,118.99,2.71,1.376,1.333,40,12.97743682,77.74857672,10
251,Malleshwaram,113.56,1.714,0.381,1.333,40,13.0085053,77.57076316,11
