cluster,police_station,current_capacity_loss,predicted_1h,predicted_2h,predicted_3h
209,Pulikeshinagar(F.Town),77.07,313.29,284.96,192.54
61,Bellandur,124.61,277.65,218.21,210.77
30,K.R. Pura,78.42,191.03,143.48,112.2
48,K.R. Pura,75.2,190.71,153.81,228.03
246,Malleshwaram,73.87,190.1,168.3,231.75
90,Kodigehalli,245.12,155.37,243.95,184.29
237,High ground,74.74,153.55,155.21,169.85
89,R.T. Nagar,78.75,143.32,146.84,134.63
13,Electronic City,261.61,131.01,263.92,161.83
31,Whitefield,41.18,118.99,109.15,132.99
251,Malleshwaram,74.79,113.56,126.76,114.17
16,Mahadevapura,289.57,93.69,65.22,74.43
12,Electronic City,185.1,79.65,104.91,115.8
71,HAL Old Airport,22.51,76.99,96.61,86.5
47,Whitefield,34.24,73.88,87.18,76.95
23,K.S. Layout,33.47,65.73,68.51,71.76
70,HAL Old Airport,10.58,49.27,92.94,106.68
1,Chikkajala,12.6,47.28,43.59,48.82
130,Jeevanbheemanagar,12.82,39.16,43.04,42.98
60,Mahadevapura,13.19,35.7,39.05,29.78
